priority,metric_id,label,value,unit,color
1,roadmap_steps,Étapes roadmap,15,,blue
2,current_steps,En cours,3,,orange
3,post_python,Post-Python,4,,purple
4,nicegui_tabs,Onglets utiles,9,,green
5,migration_coverage,Coverage migration,97.7,%,teal
6,sheet_tabs,Onglets Sheets,13,,indigo
