"import_batch_id","imported_at","exported_at","record_type","project_name","apps_script_id","script_id","script_file_name","module_family","detected_version","function_name","function_visibility","function_prefix","line_number","dependency_type","dependency_target","severity","security_flag","file_path","file_size_bytes","line_count","char_count","hash_sha256","public_function_count","internal_function_count","total_function_count","risk_hit_count","has_mvpqaic_reference","has_network_logic","has_bigquery_logic","has_drive_logic","has_properties_logic","has_trigger_logic","has_delete_or_clear_risk","calls_spreadsheet","calls_urlfetch","calls_bigquery","calls_trigger","calls_properties","calls_drive","writes_sheet_likely","network_flags","bigquery_flags","ingestion_flags","trigger_flags","secret_flags","drive_flags","raw_key","raw_value","notes","created_at","updated_at"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_buildDashboardRows_","PUBLIC","MVPQAIC","12127","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12127","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_buildAuditRows_","PUBLIC","MVPQAIC","12144","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12144","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_writeTable_","PUBLIC","MVPQAIC","12160","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12160","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_formatSheet_","PUBLIC","MVPQAIC","12171","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12171","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_openSheet_","PUBLIC","MVPQAIC","12184","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12184","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_getOrCreate_","PUBLIC","MVPQAIC","12197","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12197","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_makeRunId_","PUBLIC","MVPQAIC","12201","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12201","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_log_","PUBLIC","MVPQAIC","12205","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12205","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_error_","PUBLIC","MVPQAIC","12211","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12211","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_23_gpt_response_intake_core","mvpqaic_23_gpt_response_intake_core.js","QAIC_BRIDGE","MVP_QAIC_P4T_TSV_PARSER_RUNTIME_REFERENCE_2.4.5_YAML_BLOCK_CLEAN_PARSE_SAFE","MVPQAIC_P5E_errorCode_","PUBLIC","MVPQAIC","12227","","","INFO","","mvpqaic_23_gpt_response_intake_core.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","12227","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
