tag,present,commit
mvp-qaic-docs-cleanup-final-reference-fusion-r10-r11-20260630,TRUE,a46f019f343d53bca6f4888bf3efccb20b3d5287
mvp-qaic-docs-final-reference-verify-superseded-mark-r12-20260630,TRUE,7cac649c212f288d9f67558b44f2d611ef947fc8
mvp-qaic-docs-final-reference-r12b-dirty-carryover-audit-20260630,TRUE,eb7146fafe2b2720db7cbcf9942ab099c3d1a46b
mvp-qaic-r13-ui-dirty-carryover-finalize-20260630,TRUE,4f6e1afbca333dcf35c583301410a87560924195
mvp-qaic-r13b-clean-r13-report-desktop-ini-noise-20260630,TRUE,8ebd85154bf4518655dcd53fbdf434ce4c2ea0b1
