"theme","title","file","candidate_count","include_count","review_count","zip_count","recent_count"
"CDC_CONTRACT","CDC & Contrats — Final Fusion Draft","📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_DRAFT_v0.1.0.md","804","0","804","10","804"
"INSTRUCTIONS_GOVERNANCE","Instructions & Gouvernance — Final Fusion Draft","🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_DRAFT_v0.1.0.md","85","1","84","2","85"
"PLANNING_ROADMAP","Roadmap & Planning — Final Fusion Draft","🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_DRAFT_v0.1.0.md","524","0","524","7","524"
"ARCHITECTURE_MIGRATION","Architecture & Migration — Final Fusion Draft","🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_DRAFT_v0.1.0.md","659","0","659","20","659"
"PROMPT_GEM_WORKFLOW","Prompt GEM & Workflow — Final Fusion Draft","💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_DRAFT_v0.1.0.md","1058","0","1058","0","1058"
"SHEETS_COCKPITS","Sheets & Cockpits — Final Fusion Draft","📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_DRAFT_v0.1.0.md","3750","2","3748","10","3750"
"NOTICE_RUNBOOK","Notice & Runbook — Final Fusion Draft","🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_DRAFT_v0.1.0.md","447","2","445","13","447"
"UI_UX","UI UX & Stitch — Final Fusion Draft","🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_DRAFT_v0.1.0.md","976","0","976","82","976"
