rel_path,name,classification,selected_archive_or_noise,protected_domain_or_hold,size_bytes,mtime_utc,sha256,hash_status
architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,MOVE_TO_99_ARCHIVES_CANDIDATE,True,False,44769,2026-06-20T08:48:41.323000+00:00,4f9f6dfd09190b5dca3b0af20d8b0e2492ed9f87c0d8bfd5a1b7854b1d83460c,OK
Revolut X/v25_00_reference_contract_crypto_alpha_ia.js,v25_00_reference_contract_crypto_alpha_ia.js,MOVE_TO_99_ARCHIVES_CANDIDATE,True,False,377239,2026-06-20T08:48:44.479000+00:00,4d05cc6d4ae5578c79fc5d12e39606ead09ded82dbf3057e2f92227f7b20f8bf,OK
Revolut X/v25_29_revolut_api_readiness_contract.js,v25_29_revolut_api_readiness_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,True,False,64775,2026-06-20T08:48:43.971000+00:00,05a64dca191621d9db3d04ca7bf72afaaca24a6d15f0b7a2dcaa8a01042805a2,OK
Revolut X/v25_31_revolut_fiscal_ledger_builder.zip,v25_31_revolut_fiscal_ledger_builder.zip,MOVE_TO_99_ARCHIVES_CANDIDATE,True,False,315976,2026-06-16T12:39:25.358000+00:00,4d7f72f36e76b4f85dd18fa2fbb57ffe1c88feb6d30119ff773349d27e86c68d,OK
