action,src,dst,reason
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/WEBAPP_ARCHITECTURE_CDC,supporting_asset_active_not_superseded
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_NOTICE_UTILISATION.css,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/MVP_QAIC_NOTICE_UTILISATION.css,supporting_asset_active_not_superseded
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_NOTICE_UTILISATION.html,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/MVP_QAIC_NOTICE_UTILISATION.html,supporting_asset_active_not_superseded
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,supporting_asset_active_not_superseded
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,supporting_asset_active_not_superseded
already_at_destination,docs/FINAL/WEBAPP_ARCHITECTURE_CDC,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/WEBAPP_ARCHITECTURE_CDC,supporting_asset_root_residue
windows_noise_moved_to_evidence,docs/FINAL/desktop.ini,docs/drive_reconcile/R16_REPORTS/R16_SUPPORTING_ASSETS_TAXONOMY_20260630_232917/evidence/windows_noise/docs__FINAL__desktop.ini.bin,desktop_ini_not_final_content
