classification,count
HOLD_REVIEW,1
MOVE_TO_99_ARCHIVES_CANDIDATE,11
MOVE_TO_DOMAIN_FOLDER_CANDIDATE,11
WINDOWS_NOISE_ARCHIVE_CANDIDATE,2
