kind,source_relpath,target_relpath,copy_status,scope
doc,docs/public_method_contracts/README.md,docs/qaic_public_contracts/README_QAIC_PUBLIC_CONTRACTS.md,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
doc,docs/public_method_contracts/MVP_HANDOFF.md,docs/qaic_public_contracts/QAIC_MVP_PUBLIC_HANDOFF.md,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
schema,docs/public_method_contracts/schemas_public_safe/lexicon_entry.schema.json,docs/qaic_public_contracts/schemas_public_safe/lexicon_entry.schema.json,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
schema,docs/public_method_contracts/schemas_public_safe/prompt_template.schema.json,docs/qaic_public_contracts/schemas_public_safe/prompt_template.schema.json,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
schema,docs/public_method_contracts/schemas_public_safe/public_signal_taxonomy.schema.json,docs/qaic_public_contracts/schemas_public_safe/public_signal_taxonomy.schema.json,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
registry,docs/public_method_contracts/registry/public_contract_manifest.csv,docs/qaic_public_contracts/registry/public_contract_manifest.csv,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
registry,docs/public_method_contracts/registry/public_private_forbidden_content_review.csv,docs/qaic_public_contracts/registry/public_private_forbidden_content_review.csv,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
registry,docs/public_method_contracts/registry/public_private_boundary_audit.csv,docs/qaic_public_contracts/registry/public_private_boundary_audit.csv,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
audit,docs/audit/qaic_migration/QAIC_P3_82_MVP_HANDOFF_PACK.md,docs/qaic_public_contracts/audit/QAIC_P3_82_MVP_HANDOFF_PACK.md,COPIED,PUBLIC_METHOD_CONTRACT_ONLY
