path,action,size,sha256,evidence
docs/drive_reconcile/R14_REPORTS/R14_FINAL_CLOSURE_VERIFY_AND_SEAL_20260630_204958/desktop.ini,git_rm_preserve_binary_copy,106,44d0bbe4742f580215cfff643168b7bdeefa93c8fce0f3efd708ddbbf22b9a71,docs/drive_reconcile/R14E_REPORTS/R14E_CLEAN_TRACKED_DESKTOP_INI_NOISE_20260630_211518/evidence/tracked_desktop_ini_01_docs_drive_reconcile_R14_REPORTS_R14_FINAL_CLOSURE_VERIFY_AND_SEAL_20260630_204958_desktop.ini.bin
docs/drive_reconcile/R14_REPORTS/desktop.ini,git_rm_preserve_binary_copy,106,44d0bbe4742f580215cfff643168b7bdeefa93c8fce0f3efd708ddbbf22b9a71,docs/drive_reconcile/R14E_REPORTS/R14E_CLEAN_TRACKED_DESKTOP_INI_NOISE_20260630_211518/evidence/tracked_desktop_ini_02_docs_drive_reconcile_R14_REPORTS_desktop.ini.bin
