kind,expected_row_no,expected_item,expected_classification,expected_relative_path,exact_relative_path_present,basename_match_count,basename_match_paths,exact_size_bytes,exact_mtime_utc,diagnosis
unknown_from_r20a8,1,desktop.ini,,desktop.ini,TRUE,2,desktop.ini | Revolut X/desktop.ini,246,2026-07-01T08:02:55.997579+00:00,EXACT_PRESENT
unknown_from_r20a8,2,desktop.ini,,revolut x/desktop.ini,TRUE,2,desktop.ini | Revolut X/desktop.ini,246,2026-07-01T08:02:55.997579+00:00,EXACT_PRESENT
