source_file,source_row,source_kind,name,score,matched_keywords,summary
P165_R3_PROMPT_ENGINE_RECOVERY.csv,68,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,"record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text sheet.getRange(1, 1, 1, 4).setValues([['key', 'value', 'description', 'updated_at']]); Review required before cleanu"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,69,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,"record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text sheet.getRange(r + 1, 2, 1, 3).setValues([[value, description || '', new Date().toISOString()]]); Review required be"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1922,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text journal.getRange(targetRow, 1, 1, headerInfo.headers.length).setValues([rowValues]); Review required before cleanup/"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1931,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text if (marked.length) journal.getRange(headerInfo.dataStartRow, 1, rows.length, lastCol).setValues(rows); Review requir"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1933,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(JOURNAL_HEADER_ROW, 1, 1, headers.length).setValues([headers]); Review required before cleanup/delete"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1934,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(JOURNAL_DATA_START_ROW, 1, remapped.length, headers.length).setValues(remapped); Review required befo"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1937,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .setValue('ZONE BOUTONS : 🧾 Journaliser · 🔁 Boucle qualité · 🧹 Marquer incomplets · 🎨 Format UI') Review required be
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1941,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text journal.getRange(rowNumber, draftIdx + 1).setValue(draft).setWrapStrategy(SpreadsheetApp.WrapStrategy.CLIP); Review "
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1950,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text journal.getRange(targetRow, 1, 1, headerInfo.headers.length).clearDataValidations().setValues([rowValues]); Review r"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,40,PROMPT_ENGINE_OR_PROMPT_SOURCE,MVPQAIC_BuildFullReviewPrompt,190,prompt|gpt|review|revolut,record_type=FUNCTION_INDEX | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | function_name=MVPQAIC_BuildFullReviewPrompt | function_visibility=PUBLIC | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildFullReviewPrompt function_line 227
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1923,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(1, 1, summary.length, summaryCols).setValues(summary); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1924,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(AI_REF_HEADER_ROW, 1, 1, AI_REF_HEADERS.length).setValues([AI_REF_HEADERS]); Review required before c"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1925,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(AI_REF_DATA_START_ROW, 1, oldRows.length, Math.max(oldLastCol, AI_REF_HEADERS.length)).clearContent()"
